season,team,conference,statName,statValue
2025,North Carolina,ACC,fumblesLostOpponent,6
2025,North Carolina,ACC,fumblesRecovered,6
2025,North Carolina,ACC,fumblesRecoveredOpponent,8
2025,North Carolina,ACC,games,12
2025,North Carolina,ACC,interceptions,6
2025,North Carolina,ACC,interceptionsOpponent,6
2025,North Carolina,ACC,interceptionTDs,0
2025,North Carolina,ACC,interceptionTDsOpponent,1
2025,North Carolina,ACC,interceptionYards,70
2025,North Carolina,ACC,interceptionYardsOpponent,45
2025,North Carolina,ACC,kickReturns,22
2025,North Carolina,ACC,kickReturnsOpponent,12
2025,North Carolina,ACC,kickReturnTDs,0
2025,North Carolina,ACC,kickReturnTDsOpponent,0
2025,North Carolina,ACC,kickReturnYards,402
2025,North Carolina,ACC,kickReturnYardsOpponent,249
2025,North Carolina,ACC,netPassingYards,2207
2025,North Carolina,ACC,netPassingYardsOpponent,2535
2025,North Carolina,ACC,passAttempts,355
2025,North Carolina,ACC,passAttemptsOpponent,384
2025,North Carolina,ACC,passCompletions,227
2025,North Carolina,ACC,passCompletionsOpponent,245
2025,North Carolina,ACC,passesIntercepted,6
2025,North Carolina,ACC,passesInterceptedOpponent,6
2025,North Carolina,ACC,passingTDs,13
2025,North Carolina,ACC,passingTDsOpponent,15
2025,North Carolina,ACC,penalties,79
2025,North Carolina,ACC,penaltiesOpponent,62
2025,North Carolina,ACC,penaltyYards,751
2025,North Carolina,ACC,penaltyYardsOpponent,610
2025,North Carolina,ACC,possessionTime,20454
2025,North Carolina,ACC,possessionTimeOpponent,22744
2025,North Carolina,ACC,puntReturns,17
2025,North Carolina,ACC,puntReturnsOpponent,18
2025,North Carolina,ACC,puntReturnTDs,0
2025,North Carolina,ACC,puntReturnTDsOpponent,0
2025,North Carolina,ACC,puntReturnYards,137
2025,North Carolina,ACC,puntReturnYardsOpponent,152
2025,North Carolina,ACC,rushingAttempts,346
2025,North Carolina,ACC,rushingAttemptsOpponent,432
2025,North Carolina,ACC,rushingTDs,11
2025,North Carolina,ACC,rushingTDsOpponent,19
2025,North Carolina,ACC,rushingYards,1262
2025,North Carolina,ACC,rushingYardsOpponent,1504
2025,North Carolina,ACC,sacks,31
2025,North Carolina,ACC,sacksOpponent,22
2025,North Carolina,ACC,tacklesForLoss,61
2025,North Carolina,ACC,tacklesForLossOpponent,64
2025,North Carolina,ACC,thirdDownConversions,58
2025,North Carolina,ACC,thirdDownConversionsOpponent,72
2025,North Carolina,ACC,thirdDowns,157
2025,North Carolina,ACC,thirdDownsOpponent,170
2025,North Carolina,ACC,totalYards,3469
2025,North Carolina,ACC,totalYardsOpponent,4039
2025,North Carolina,ACC,turnovers,15
2025,North Carolina,ACC,turnoversOpponent,12
2025,Northern Illinois,Mid-American,firstDowns,180
2025,Northern Illinois,Mid-American,firstDownsOpponent,239
2025,Northern Illinois,Mid-American,fourthDownConversions,22
2025,Northern Illinois,Mid-American,fourthDownConversionsOpponent,14
2025,Northern Illinois,Mid-American,fourthDowns,37
2025,Northern Illinois,Mid-American,fourthDownsOpponent,24
2025,Northern Illinois,Mid-American,fumblesLost,5
2025,Northern Illinois,Mid-American,fumblesLostOpponent,4
2025,Northern Illinois,Mid-American,fumblesRecovered,4
2025,Northern Illinois,Mid-American,fumblesRecoveredOpponent,5
2025,Northern Illinois,Mid-American,games,12
2025,Northern Illinois,Mid-American,interceptions,6
2025,Northern Illinois,Mid-American,interceptionsOpponent,9
2025,Northern Illinois,Mid-American,interceptionTDs,0
2025,Northern Illinois,Mid-American,interceptionTDsOpponent,0
2025,Northern Illinois,Mid-American,interceptionYards,24
2025,Northern Illinois,Mid-American,interceptionYardsOpponent,43
2025,Northern Illinois,Mid-American,kickReturns,25
2025,Northern Illinois,Mid-American,kickReturnsOpponent,20
2025,Northern Illinois,Mid-American,kickReturnTDs,1
2025,Northern Illinois,Mid-American,kickReturnTDsOpponent,2
2025,Northern Illinois,Mid-American,kickReturnYards,549
2025,Northern Illinois,Mid-American,kickReturnYardsOpponent,482
2025,Northern Illinois,Mid-American,netPassingYards,1186
2025,Northern Illinois,Mid-American,netPassingYardsOpponent,2087
2025,Northern Illinois,Mid-American,passAttempts,244
2025,Northern Illinois,Mid-American,passAttemptsOpponent,317
2025,Northern Illinois,Mid-American,passCompletions,129
2025,Northern Illinois,Mid-American,passCompletionsOpponent,188
2025,Northern Illinois,Mid-American,passesIntercepted,9
2025,Northern Illinois,Mid-American,passesInterceptedOpponent,6
2025,Northern Illinois,Mid-American,passingTDs,8
2025,Northern Illinois,Mid-American,passingTDsOpponent,11
2025,Northern Illinois,Mid-American,penalties,52
2025,Northern Illinois,Mid-American,penaltiesOpponent,69
2025,Northern Illinois,Mid-American,penaltyYards,456
2025,Northern Illinois,Mid-American,penaltyYardsOpponent,557
2025,Northern Illinois,Mid-American,possessionTime,21041
2025,Northern Illinois,Mid-American,possessionTimeOpponent,22159
