season,team,conference,returning_total_ppa,returning_passing_ppa,returning_receiving_ppa,returning_rushing_ppa,returning_percent_ppa,returning_percent_passing_ppa,returning_percent_receiving_ppa,returning_percent_rushing_ppa,returning_usage,returning_passing_usage,returning_receiving_usage,returning_rushing_usage
2021,Cincinnati,American Athletic,314.8,111.0,141.0,62.8,0.855,0.955,0.836,0.754,0.735,0.952,0.727,0.552
2021,Clemson,ACC,145.0,42.5,81.3,21.1,0.261,0.206,0.313,0.234,0.351,0.308,0.42,0.328
2021,Coastal Carolina,Sun Belt,409.3,166.5,171.5,71.3,0.842,0.964,0.807,0.707,0.72,0.87,0.761,0.607
2021,Colorado,Pac-12,102.3,5.6,77.6,19.2,0.758,0.189,0.987,0.716,0.547,0.06,0.821,0.739
2021,Colorado State,Mountain West,26.2,-3.5,38.8,-9.1,0.546,-0.285,0.872,1.071,0.69,0.32,0.913,0.894
2021,Duke,ACC,159.7,3.2,125.8,30.7,0.682,0.078,0.778,0.99,0.379,0.086,0.701,0.446
2021,East Carolina,American Athletic,206.2,56.8,129.9,19.5,1.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021,Eastern Michigan,Mid-American,194.3,74.8,90.9,28.6,0.895,1.0,0.804,0.983,0.921,1.0,0.791,0.956
2021,Florida,SEC,167.5,11.0,122.4,34.1,0.27,0.044,0.383,0.651,0.41,0.073,0.481,0.793
2021,Florida Atlantic,Conference USA,137.8,21.0,84.4,32.4,0.977,1.0,1.002,0.895,0.94,1.0,0.955,0.888
2021,Florida International,Conference USA,25.6,-16.2,25.9,15.9,1.6,0.684,0.952,1.293,0.699,0.568,0.742,0.914
2021,Florida State,ACC,165.7,-3.5,66.5,102.7,0.85,0.318,0.766,0.862,0.735,0.739,0.715,0.747
