rank,n_estimators,learning_rate,max_depth,min_samples_leaf,subsample,mean_log_loss,std_log_loss,mean_brier_score,std_brier_score,mean_roc_auc,std_roc_auc,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,fold_1_log_loss,fold_1_brier_score,fold_1_roc_auc,fold_1_accuracy,fold_2_log_loss,fold_2_brier_score,fold_2_roc_auc,fold_2_accuracy,fold_3_log_loss,fold_3_brier_score,fold_3_roc_auc,fold_3_accuracy,fold_4_log_loss,fold_4_brier_score,fold_4_roc_auc,fold_4_accuracy
62,500,0.03,3,5,0.75,0.5344667466222613,0.025749256010236723,0.1786395830466181,0.010939398011993572,0.7893019096988513,0.026222134918661624,0.729174443559216,0.0204270126190193,0.69834860072251,0.7611990229756731,0.8235575297451755,0.508651426729713,0.16846273895394268,0.8051048904043459,0.7464622641509434,0.5284776806044005,0.17564179750987724,0.8073857486258909,0.7361623616236163,0.5234985320086104,0.173408661768064,0.8006382075972044,0.7396937573616019,0.5772393471463216,0.1970451339545885,0.7440787921679642,0.6943793911007026
63,500,0.03,3,3,0.75,0.5345751133082566,0.024635587178541,0.17867792786431208,0.010503667784561617,0.7893383352362079,0.02476007052759026,0.7266934421090288,0.017309308823821718,0.6947932964494866,0.7575721283754181,0.8254827903163946,0.5099337770053431,0.16882921647476423,0.8038338619100871,0.7429245283018868,0.532048880535091,0.17700196272465424,0.8049819362638291,0.7250922509225092,0.5212792316378339,0.17271224225491175,0.8020466251016536,0.7396937573616019,0.5750385640547586,0.1961682900029182,0.7464909176692617,0.6990632318501171
64,350,0.05,2,10,0.75,0.5346242078101068,0.02198795015335166,0.17871730472793446,0.009250660127912293,0.7888115796237153,0.022242659003042942,0.731302183500466,0.013917292345322548,0.6986121793701152,0.759277148390522,0.8332493940682175,0.5110930276792677,0.1691607980178234,0.8009190513727719,0.7476415094339622,0.5317401347518242,0.1774500801557896,0.805530174170966,0.7306273062730627,0.5252158810585571,0.17436214438474412,0.7982456657277217,0.7373380447585395,0.5704477877507782,0.1938961963533807,0.7505514272234017,0.7096018735362998
65,200,0.08,2,5,0.75,0.5347509094101844,0.021278108997758054,0.1786424128947543,0.009199416922327631,0.7896251522483886,0.02105839950896199,0.7259823719493639,0.019054917205109455,0.69247762102379,0.7545804841197563,0.8307189436676706,0.5100474765720575,0.16843671495076667,0.8026453280536765,0.75,0.5319079771849159,0.17739601355020923,0.8060362399314,0.7269372693726938,0.5283586670969448,0.17522428200118817,0.7961448253915872,0.7302709069493521,0.5686895167868197,0.1935126410768531,0.7536742156168909,0.6967213114754098
66,350,0.03,4,3,0.75,0.5347976129598437,0.02702739064403639,0.17855523110224142,0.011171960181812123,0.7894657144812783,0.027065317192461403,0.7255667926361306,0.02434342897326712,0.6928487013106095,0.755869134811602,0.8269350014782246,0.5104362512826053,0.16911371885328697,0.8041271761779929,0.7429245283018868,0.5286306678533463,0.17558071292695293,0.8087633720848504,0.7416974169741697,0.5198589232086839,0.17203175073163893,0.8022027885487997,0.7338044758539458,0.5802646094947392,0.19749474189708688,0.7427695211134702,0.6838407494145199
67,200,0.1,2,3,0.75,0.5348068459954698,0.022132459843489334,0.17877589855038178,0.009534761527075459,0.7896989261611362,0.023018706968250698,0.7275923749887071,0.02364966941480806,0.6953153980548707,0.7573353372935961,0.8284363685214562,0.510961693101165,0.1687273250525658,0.802795040544587,0.7547169811320755,0.5286873100299605,0.17660097799906313,0.8088477163782561,0.7250922509225092,0.5285241746873625,0.17531592427252335,0.7966133157330253,0.7396937573616019,0.5710542061633913,0.1944593668773748,0.7505396319886766,0.6908665105386417
68,200,0.08,2,3,0.75,0.5348164218268323,0.022888220769527515,0.17873770433560698,0.009622118791056917,0.7889900214955645,0.022364319314632623,0.7302962898217313,0.015112445076040884,0.6975703204126198,0.7584979884598451,0.8329720049063352,0.5096875772861599,0.16869285960657415,0.802009813806547,0.7476415094339622,0.532966618281991,0.1778588021284505,0.8049116493526576,0.7324723247232472,0.5248891035759797,0.17397692692846953,0.798590403903497,0.734982332155477,0.5717223881631989,0.19442222867893372,0.7504482189195565,0.7060889929742389
69,500,0.05,2,3,0.75,0.5348536988858613,0.022964661797078206,0.17867790735657485,0.009601391973729863,0.7896646264349468,0.02328339940130727,0.7282083181104122,0.01833838021465579,0.6955076003574269,0.7571229067536355,0.8297775547077316,0.5117442273596122,0.16966196719251353,0.8020067584495898,0.7488207547169812,0.5334206582729462,0.17820267407722049,0.8053333708196861,0.7158671586715867,0.5219035946120218,0.17241911538263208,0.8019110870154513,0.7432273262661955,0.572346315298865,0.19442787277393328,0.7494072894550601,0.7049180327868853
70,200,0.03,2,10,1.0,0.5349300289067493,0.024206593789039763,0.1787387286934016,0.010221104554440062,0.7864288797192293,0.02336193968200029,0.7318516812351095,0.017850574749378328,0.6964435768875399,0.7559761788514762,0.842269193494411,0.5021438434208709,0.16500920098862337,0.8075827848967595,0.7523584905660378,0.5390305012562697,0.18028816325550803,0.7975385523707775,0.7398523985239852,0.5287710095827568,0.17608789715351272,0.7936609426379247,0.7314487632508834,0.5697747613670997,0.19356965337596233,0.7469332389714555,0.7037470725995316
71,200,0.03,2,5,1.0,0.534986404283522,0.024331462866267736,0.17875463055524274,0.010260522409954701,0.7863666101323301,0.023439457387590717,0.7325655293577495,0.01748252484862302,0.697283944729974,0.7564697514533081,0.8427022512090372,0.5019350481939947,0.16495227013228356,0.807552231327186,0.7547169811320755,0.5393387247194104,0.18041338427631137,0.7972995768727946,0.7380073800738007,0.5287819908003403,0.1760479638947566,0.7939025540089809,0.7314487632508834,0.5698898534203422,0.19360490391761942,0.7467120783203586,0.7060889929742389
